КодИнструмента,НаименованиеИнструмента,БазисПоставки,ОбъемДоговоровЕИ,ОбъемДоговоровРуб,ИзмРынРуб,ИзмРынПроц,МинЦена,СреднЦена,МаксЦена,РынЦена,ЛучшПредложение,ЛучшСпрос,КоличествоДоговоров,Дата,Товар
A692YAI060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Яничкино (ст. отправления)",ст. Яничкино,660,39120480,796,1.34,58769,59273,59516,59273,58720,59569,9,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692YYA060C,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, БП Якутия (ст. назначения)",БП Якутия,1860,140913000,1160,1.53,75150,75760,76200,75760,75150,76200,3,2025-12-10,Бензин (АИ-92-К5)
A692ZEL060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Зелецино (ст. отправления ОТП)",ст. Зелецино,3240,188836140,1012,1.74,57557,58283,58568,58283,57271,58574,38,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695AAY025A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Аргаяшская (самовывоз автотранспортом)",НБ Аргаяшская,,,,,,,,,76500,,,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A695ACH005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, Ачинский НПЗ (самовывоз автотранспортом)",Ачинский НПЗ,,,,,,,,,,75800,,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A695ALL060J,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст. Аллагуват (ст. отправления ОТП)",ст. Аллагуват,3000,204597240,1287,1.89,67247,68199,68533,68199,67247,68540,45,2025-12-10,Бензин (АИ-95-К5)
A695ANK060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Ангарск-группа станций (ст. отправления)",Ангарск-группа станций,240,17148240,621,0.87,71184,71451,71540,71451,70918,71808,3,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695ASO005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН Сургутский ЗСК (самовывоз автотранспортом)",АСН Сургутский ЗСК,55,3602500,,,65500,65500,65500,65500,65500,65500,2,2025-12-10,Бензин (АИ-95-К5)
A695AVM005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, СН КНПЗ (самовывоз автотранспортом)",СН КНПЗ,,,,,,,,,86000,,,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A695BPI060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), БП (б.т.ц.) Войновка (ст. отправления ОТП)",БП (б.т.ц.) Войновка,420,27498420,842,1.29,64953,65472,65753,65472,64630,65799,7,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695BTC060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), БП (б.т.ц.) Осенцы (ст. отправления ОТП)",БП (б.т.ц.) Осенцы,,,,,,,,,,65000,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695BYF060C,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ЮФО БП (ст. назначения)",ЮФО БП,480,35808000,1100,1.47,73900,74600,75300,74600,73900,75300,2,2025-12-10,Бензин (АИ-95-К5)
A695DZM060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Дземги (ст. отправления)",ст. Дземги,180,13860000,-860,-1.12,77000,77000,77000,77000,77000,78249,3,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695ENU025A,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Елховский НПЗ (самовывоз автотранспортом)",Елховский НПЗ,50,3650000,,,73000,73000,73000,73000,73000,73000,2,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695KDM005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Кудьминская (самовывоз автотранспортом)",НБ Кудьминская,,,,,,,,,78000,,,2025-12-10,Бензин (АИ-95-К5)
A695KGY005A,"Бензин (АИ-95-К5) по ГОСТ, НБ Когалым (самовывоз автотранспортом)",НБ Когалым,10,829800,,,82980,82980,82980,82980,82980,82980,1,2025-12-10,Бензин (АИ-95-К5) по ГОСТ
A695KII060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Кириши (ст. отправления)",ст. Кириши,3420,244458180,356,0.5,71479,71479,71479,71479,71124,71479,25,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695KIT025A,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), КИНЕФ (самовывоз автотранспортом)",КИНЕФ,,,,,,,,79002,79002,,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695LTN025A,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ Латная (самовывоз автотранспортом)",НБ Латная,,,,,,,,,81000,,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695NOV060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Новая Еловка (ст. отправления)",ст. Новая Еловка,240,16454280,597,0.87,68303,68560,68645,68560,67963,68903,3,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695NRT025A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Никифор (самовывоз автотранспортом)",НБ Никифор,,,,,,,,,73500,,,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A695NVY060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Новоярославская (ст. отправления)",ст. Новоярославская,840,59710260,1098,1.54,70336,71084,71388,71084,70286,71439,11,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695PIP005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Приоритет (самовывоз автотранспортом)",НБ Приоритет,,,,,,,,73500,,,,2025-12-10,Бензин (АИ-95-К5)
A695PKA060J,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, ст. Протока (ст. отправления ОТП)",ст. Протока,120,8520000,-4000,-5.63,71000,71000,71000,71000,70500,71000,2,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A695REN025A,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ РЕНЕКО-С (самовывоз автотранспортом)",НБ РЕНЕКО-С,,,,,,,,,77000,,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695ROR005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Серпуховская (самовывоз автотранспортом)",НБ Серпуховская,,,,,,,,,78000,,,2025-12-10,Бензин (АИ-95-К5)
A695SAU060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Самара-группа станций (ст. отправления)",Самара-группа станций,1140,77635020,659,0.97,67779,68101,68125,68101,67755,68130,13,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695SDB025A,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ СОЛИД-БУНКЕР (самовывоз автотранспортом)",НБ СОЛИД-БУНКЕР,,,,,,,,,78000,,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695SDS025A,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ Солид-Смоленск (самовывоз автотранспортом)",НБ Солид-Смоленск,,,,,,,,,79700,,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695SDZ060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Судженка (ст. отправления ОТП)",ст. Судженка,720,48064680,1012,1.52,66074,66757,67063,66757,66074,67063,10,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695SMK005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Смоленская (самовывоз автотранспортом)",НБ Смоленская,,,,,,,,,82500,,,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A695SSI060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Саратов-группа станций (ст. отправления)",Саратов-группа станций,360,24366720,784,1.16,67236,67685,67911,67685,67082,68023,6,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695SSI060J,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Саратов-группа станций (ст. отправления ОТП)",Саратов-группа станций,60,3982080,330,0.5,66368,66368,66368,66368,66368,66700,1,2025-12-10,Бензин (АИ-95-К5)
A695STI060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Стенькино II (ст. отправления)",ст. Стенькино II,,,,,,,,68962,,69307,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695SVZ005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Связь-Петролеум (самовывоз автотранспортом)",НБ Связь-Петролеум,5,372500,,,74500,74500,74500,74500,74500,74500,1,2025-12-10,Бензин (АИ-95-К5)
A695TNZ005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Транзит-Сервис (самовывоз автотранспортом)",НБ Транзит-Сервис,15,1155000,,,77000,77000,77000,77000,77000,77000,1,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A695UFM060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Уфа-группа станций (ст. отправления)",Уфа-группа станций,1500,101585640,1181,1.74,66876,67724,68008,67724,66858,68063,16,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695URT005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Сургут-25 БП (самовывоз автотранспортом)",Сургут-25 БП,185,12210000,-313,-0.47,66000,66000,66000,66000,66000,66000,14,2025-12-10,Бензин (АИ-95-К5)
A695VLA060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Ветласян (ст. отправления ОТП)",ст. Ветласян,,,,,,,,,,68800,,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695VLD001O,"Бензин (АИ-95-К5) по ГОСТ 32513-2013/ГОСТ 32513-2023, ЛПДС Володарская (франко-резервуар ОТП Транснефть)",ЛПДС Володарская,200,15340000,100,0.13,76700,76700,76700,76700,76700,76700,2,2025-12-10,Бензин (АИ-95-К5) по ГОСТ 32513-2013/ГОСТ 32513-2023
A695VON060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Войновка (ст. отправления ОТП)",ст. Войновка,1620,105517860,634,0.97,64823,65134,65436,65134,64823,65436,20,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695YAI060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Яничкино (ст. отправления)",ст. Яничкино,1200,85144260,1124,1.58,70179,70954,71273,70954,70120,71309,15,2025-12-10,Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A695ZNT025A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, Славянск ЭКО (самовывоз автотранспортом)",Славянск ЭКО,125,8875000,-1000,-1.41,71000,71000,71000,71000,70500,71000,5,2025-12-10,Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A698PKA060J,"Бензин (АИ-98-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, ст. Протока (ст. отправления ОТП)",ст. Протока,,,,,,,,72000,71500,,,2025-12-10,Бензин (АИ-98-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A698ZNT025A,"Бензин (АИ-98-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, Славянск ЭКО (самовывоз автотранспортом)",Славянск ЭКО,,,,,,,,,71500,,,2025-12-10,Бензин (АИ-98-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A925KII060F,"Бензин Регуляр-92 (АИ-92-К5), ст. Кириши (ст. отправления)",ст. Кириши,960,57432960,2,,59826,59826,59826,59826,59826,60123,9,2025-12-10,Бензин Регуляр-92 (АИ-92-К5)
A925KIT025A,"Бензин Регуляр-92 (АИ-92-К5), КИНЕФ (самовывоз автотранспортом)",КИНЕФ,,,,,,,,70002,70002,,,2025-12-10,Бензин Регуляр-92 (АИ-92-К5)
A926NPT005A,"Бензин (АИ-92-К5) EURO-6, ТАНЕКО (самовывоз автотранспортом)",ТАНЕКО,180,11880000,-1000,-1.52,66000,66000,66000,66000,66000,66000,5,2025-12-10,Бензин (АИ-92-К5) EURO-6
A926PDK060F,"Бензин (АИ-92-К5) EURO-6, Предкомбинатская-группа станций (ст. отправления)",Предкомбинатская-группа станций,,,,,,,,56971,,57256,,2025-12-10,Бензин (АИ-92-К5) EURO-6
A926PDK060J,"Бензин (АИ-92-К5) EURO-6, Предкомбинатская-группа станций (ст. отправления ОТП)",Предкомбинатская-группа станций,720,41746560,609,1.05,57659,57981,58223,57981,57659,58271,8,2025-12-10,Бензин (АИ-92-К5) EURO-6
A92KKSP060W,"Бензин (АИ-92-К5)-ЕВРО, ст. Красное-Экспорт (промежуточная станция)",ст. Красное-Экспорт,60,3762000,,,62700,62700,62700,62700,62700,62700,1,2025-12-10,Бензин (АИ-92-К5)-ЕВРО
A92KZLY060W,"Бензин (АИ-92-К5)-ЕВРО, ст. Злынка-Экспорт (промежуточная станция)",ст. Злынка-Экспорт,360,22320000,400,0.65,62000,62000,62000,62000,62000,62000,4,2025-12-10,Бензин (АИ-92-К5)-ЕВРО
A953KOB060F,"Бензин Премиум ЕВРО-95 (АИ-95-К5), ст. Комбинатская (ст. отправления)",ст. Комбинатская,1920,122925720,923,1.44,63417,64024,64284,64024,63417,64344,20,2025-12-10,Бензин Премиум ЕВРО-95 (АИ-95-К5)
A956NPT005A,"Бензин (АИ-95-К5) EURO-6, ТАНЕКО (самовывоз автотранспортом)",ТАНЕКО,50,3662525,251,0.34,73001,73251,73500,73251,73001,73500,2,2025-12-10,Бензин (АИ-95-К5) EURO-6
A956PDK060F,"Бензин (АИ-95-К5) EURO-6, Предкомбинатская-группа станций (ст. отправления)",Предкомбинатская-группа станций,660,44735100,780,1.15,67335,67780,67842,67780,67335,68119,5,2025-12-10,Бензин (АИ-95-К5) EURO-6
A956PDK060J,"Бензин (АИ-95-К5) EURO-6, Предкомбинатская-группа станций (ст. отправления ОТП)",Предкомбинатская-группа станций,1200,82091820,1126,1.65,67620,68410,68718,68410,67620,68718,12,2025-12-10,Бензин (АИ-95-К5) EURO-6
A95KKSP060W,"Бензин (АИ-95-К5)-ЕВРО, ст. Красное-Экспорт (промежуточная станция)",ст. Красное-Экспорт,60,4482000,-1000,-1.34,74700,74700,74700,74700,74700,74700,1,2025-12-10,Бензин (АИ-95-К5)-ЕВРО
A95KZLY060W,"Бензин (АИ-95-К5)-ЕВРО, ст. Злынка-Экспорт (промежуточная станция)",ст. Злынка-Экспорт,300,22200060,500,0.68,74000,74000,74001,74000,74000,74001,4,2025-12-10,Бензин (АИ-95-К5)-ЕВРО
A983KOB060F,"Бензин Супер ЕВРО-98 (АИ-98-К5), ст. Комбинатская (ст. отправления)",ст. Комбинатская,60,4525440,375,0.5,75424,75424,75424,75424,75424,75801,1,2025-12-10,Бензин Супер ЕВРО-98 (АИ-98-К5)
BD51NKB027A,"Битум нефтяной дорожный марка БНД 50/70 (поставка наливом), Новокуйбышевский НПЗ (самовывоз автотранспортом)",Новокуйбышевский НПЗ,162,3855600,300,1.26,23800,23800,23800,23800,23800,23800,1,2025-12-10,Битум нефтяной дорожный марка БНД 50/70 (поставка наливом)
BD70SAU065F,"Битум нефтяной дорожный марка БНД 70/100, Самара-группа станций (ст.отправления)",Самара-группа станций,,,,,,,,,22400,,,2025-12-10,Битум нефтяной дорожный марка БНД 70/100
BD71NKB027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка наливом), Новокуйбышевский НПЗ (самовывоз автотранспортом)",Новокуйбышевский НПЗ,2268,54144720,-212,-0.89,23800,23873,23950,23873,23600,23950,14,2025-12-10,Битум нефтяной дорожный марка БНД 70/100 (поставка наливом)
BD71NOF027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка наливом), Ново-Уфимский НПЗ (самовывоз автотранспортом)",Ново-Уфимский НПЗ,1080,24611985,-26,-0.11,22500,22789,22950,22789,22500,22950,8,2025-12-10,Битум нефтяной дорожный марка БНД 70/100 (поставка наливом)
BD71PIH027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка наливом), Производственная площадка г. Саратов (самовывоз автотранспортом)",Производственная площадка г. Саратов,,,,,,,,24000,,24000,,2025-12-10,Битум нефтяной дорожный марка БНД 70/100 (поставка наливом)
BD71PIY027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка наливом), Производственная площадка г. Кстово (самовывоз автотранспортом)",Производственная площадка г. Кстово,,,,,,,,,,23500,,2025-12-10,Битум нефтяной дорожный марка БНД 70/100 (поставка наливом)
BD71SYZ027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка наливом), Сызранский НПЗ (самовывоз автотранспортом)",Сызранский НПЗ,972,23133600,-271,-1.14,23800,23800,23800,23800,23800,23800,8,2025-12-10,Битум нефтяной дорожный марка БНД 70/100 (поставка наливом)
BT50SAU065F,"Битум нефтяной дорожный марка БНД 50/70, Самара-группа станций (ст.отправления)",Самара-группа станций,,,,,,,,,22400,,,2025-12-10,Битум нефтяной дорожный марка БНД 50/70
BTD1NOF027A,"Битум нефтяной дорожный БНД 90/130 (поставка наливом), Ново-Уфимский НПЗ (самовывоз автотранспортом)",Ново-Уфимский НПЗ,1620,35682660,,,22001,22026,22050,22026,22000,22050,6,2025-12-10,Битум нефтяной дорожный БНД 90/130 (поставка наливом)
BTD2PIH027A,"Битум нефтяной дорожный марка БНД 60/90, Производственная площадка г. Саратов (самовывоз автотранспортом)",Производственная площадка г. Саратов,,,,,,,,,,23500,,2025-12-10,Битум нефтяной дорожный марка БНД 60/90
BTD2SSI065F,"Битум нефтяной дорожный марка БНД 60/90, Саратов-группа станций (ст.отправления)",Саратов-группа станций,,,,,,,,,22600,,,2025-12-10,Битум нефтяной дорожный марка БНД 60/90
BTD2SSN027A,"Битум нефтяной дорожный марка БНД 60/90, Саратовский НПЗ (самовывоз автотранспортом)",Саратовский НПЗ,2484,59786289,-17,-0.07,23900,24069,24200,24069,23900,24350,15,2025-12-10,Битум нефтяной дорожный марка БНД 60/90
DA54FIA005A,"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44, Усть-Кутский цех (самовывоз автотранспортом)",Усть-Кутский цех,35,3307500,,,94500,94500,94500,94500,94500,94500,1,2025-12-10,ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44
DA54FIA100P,"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44, Усть-Кутский цех (франко-резервуар)",Усть-Кутский цех,,,,,,,,94500,,,,2025-12-10,ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44
DA54PDK065J,"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44, Предкомбинатская-группа станций (ст. отправления ОТП)",Предкомбинатская-группа станций,4485,302928795,-94,-0.14,67500,67543,67607,67543,67500,67705,30,2025-12-10,ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44
DA54ROR005A,"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44, НБ Серпуховская (самовывоз автотранспортом)",НБ Серпуховская,,,,,,,,,85000,,,2025-12-10,ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44
DA54YYA060C,"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44, БП Якутия (ст. назначения)",БП Якутия,,,,,,,,,,90000,,2025-12-10,ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44
DE13ENU025A,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26 (ГОСТ Р 52368-2005 (ЕН590:2009)), Елховский НПЗ (самовывоз автотранспортом)",Елховский НПЗ,25,1857500,-1,,74300,74300,74300,74300,74300,74300,1,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26 (ГОСТ Р 52368-2005 (ЕН590:2009))
DE15PNN005A,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ Пензенская (самовывоз автотранспортом)",НБ Пензенская,85,6465250,,,76000,76062,76200,76062,76000,76200,4,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15REN025A,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ РЕНЕКО-С (самовывоз автотранспортом)",НБ РЕНЕКО-С,,,,,,,,,77000,,,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15ROR005A,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ Серпуховская (самовывоз автотранспортом)",НБ Серпуховская,,,,,,,,,74000,,,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15SAU065F,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, Самара-группа станций (ст. отправления)",Самара-группа станций,260,16501225,110,0.17,63419,63466,63482,63466,63403,63529,4,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15SDB025A,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ СОЛИД-БУНКЕР (самовывоз автотранспортом)",НБ СОЛИД-БУНКЕР,,,,,,,,,78000,,,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15SMK005A,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ Смоленская (самовывоз автотранспортом)",НБ Смоленская,,,,,,,,,77400,,,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15SSI065F,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, Саратов-группа станций (ст. отправления)",Саратов-группа станций,455,29830255,66,0.1,65561,65561,65561,65561,65495,65561,7,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15STI065F,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, ст. Стенькино II (ст. отправления)",ст. Стенькино II,,,,,,,,66869,,66936,,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15YAI065F,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, ст. Яничкино (ст. отправления)",ст. Яничкино,845,58012305,174,0.25,68548,68654,68717,68654,68548,68723,11,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15YAI065J,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, ст. Яничкино (ст. отправления ОТП)",ст. Яничкино,,,,,,,,68013,,68081,,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE15YRC005A,"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ Ярцевская (самовывоз автотранспортом)",НБ Ярцевская,,,,,,,,,77400,,,2025-12-10,ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26
DE35KGY005A,"ДТ ЕВРО класс 3 (ДТ-З-К5) минус 38, НБ Когалым (самовывоз автотранспортом)",НБ Когалым,50,4444500,,,88890,88890,88890,88890,88890,88890,1,2025-12-10,ДТ ЕВРО класс 3 (ДТ-З-К5) минус 38
DE35OSN065F,"ДТ ЕВРО класс 3 (ДТ-З-К5) минус 38, ст. Осенцы (ст. отправления)",ст. Осенцы,65,4940000,,,76000,76000,76000,76000,76000,76000,1,2025-12-10,ДТ ЕВРО класс 3 (ДТ-З-К5) минус 38
DE43YYA060C,"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44 (ГОСТ Р 52368-2005 (ЕН590:2009)), БП Якутия (ст. назначения)",БП Якутия,,,,,,,,,,90000,,2025-12-10,ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44 (ГОСТ Р 52368-2005 (ЕН590:2009))
DE5EBIN065J,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ст. Биклянь (ст. отправления ОТП)",ст. Биклянь,130,7020000,214,0.4,54000,54000,54000,54000,53800,54055,1,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
DE5EBTC065J,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, БП (б.т.ц.) Осенцы (ст. отправления ОТП)",БП (б.т.ц.) Осенцы,3770,197297295,807,1.54,51785,52334,52602,52334,51785,52628,43,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
DE5EKDM005A,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Кудьминская (самовывоз автотранспортом)",НБ Кудьминская,200,12042500,-1587,-2.64,60200,60213,60300,60213,60200,60300,7,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
DE5EKII065F,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ст. Кириши (ст. отправления)",ст. Кириши,585,33762690,282,0.49,57714,57714,57714,57714,57714,57714,5,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
DE5EKYZ005A,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Кряжская (самовывоз автотранспортом)",НБ Кряжская,,,,,,,,,68500,,,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
DE5ENIL065F,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ст. Никель (ст. отправления)",ст. Никель,1170,62183680,129,0.24,53000,53148,53284,53148,53000,53284,12,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
DE5ENVY065F,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ст. Новоярославская (ст. отправления)",ст. Новоярославская,390,21516560,296,0.54,54800,55171,55425,55171,54800,55425,5,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
DE5EOSN065F,"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ст. Осенцы (ст. отправления)",ст. Осенцы,325,16985930,164,0.31,52200,52264,52361,52264,52200,52500,4,2025-12-10,ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15
