КодИнструмента,НаименованиеИнструмента,БазисПоставки,ОбъемДоговоровЕИ,ОбъемДоговоровРуб,ИзмРынРуб,ИзмРынПроц,МинЦена,СреднЦена,МаксЦена,РынЦена,ЛучшПредложение,ЛучшСпрос,КоличествоДоговоров,Дата,Товар
RKT-RUY060W,"Топливо для реактивных двигателей РТ высший сорт, ст. Рудня-Экспорт (промежуточная станция)",ст. Рудня-Экспорт,60,4470000,,,74500,74500,74500,74500,74500,74500,1,2025-12-10,Топливо для реактивных двигателей РТ высший сорт
RKT-SAU065F,"Топливо для реактивных двигателей РТ высший сорт, Самара-группа станций (ст. отправления)",Самара-группа станций,260,21772335,-359,-0.43,82200,83740,84309,83740,82000,84337,4,2025-12-10,Топливо для реактивных двигателей РТ высший сорт
RKT-UFM065F,"Топливо для реактивных двигателей РТ высший сорт, Уфа-группа станций (ст. отправления)",Уфа-группа станций,65,5330000,-1000,-1.22,82000,82000,82000,82000,82000,82000,1,2025-12-10,Топливо для реактивных двигателей РТ высший сорт
RKT-ZAH060W,"Топливо для реактивных двигателей РТ высший сорт, ст. Завережье-Экспорт (промежуточная станция)",ст. Завережье-Экспорт,,,,,,,,,74500,,,2025-12-10,Топливо для реактивных двигателей РТ высший сорт
TKM7KOB065J,"Мазут топочный TKM-16, не облагаемый акцизом, ст. Комбинатская (ст. отправления ОТП)",ст. Комбинатская,65,812500,,,12500,12500,12500,12500,12500,12500,1,2025-12-10,Мазут топочный TKM-16
TPBUUPG025A,"Топливо печное бытовое, Сургутское УПГ (самовывоз автотранспортом)",Сургутское УПГ,125,7250050,-5000,-8.62,58000,58000,58002,58000,58000,58002,2,2025-12-10,Топливо печное бытовое
TRD-BTT060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с, Батайск БП (ст. назначения/резервуар Покупателя)",Батайск БП,2280,190144800,-90,-0.11,83300,85140,85390,85140,83300,85390,3,2025-12-10,Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с
TRD-BUM060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с, Бугульма БП (ст. назначения/резервуар Покупателя)",Бугульма БП,60,5124000,,,85400,85400,85400,85400,85400,85400,1,2025-12-10,Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с
TRD-MHA060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с, МАУ БП (ст. назначения/резервуар Покупателя)",МАУ БП,1020,84507000,-153,-0.18,82840,82850,82860,82850,82840,82860,3,2025-12-10,Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с
TRD-PYG060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с, Пятигорск БП (ст. назначения/резервуар Покупателя)",Пятигорск БП,120,10266000,50,0.06,85550,85550,85550,85550,85550,85550,1,2025-12-10,Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с
TRD-SIE060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с, Синеглазово (БП 2) (ст. назначения/резервуар Покупателя)",Синеглазово (БП 2),,,,,,,,86150,,,,2025-12-10,Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с
